id,name,description,material_category_id,alternative_names,scientific_name,distribution,variation_name,custom_id,version,is_verified,source,ingredients,created_at,updated_at,created_by
3302,TiV15SnCrAl3,"Material from Idemat 2025 dataset - ",65,TiV15SnCrAl3,,,,4294bf93-4f6a-4466-a0db-704c333631c0,1,false,Idemat 2025,,2025-07-29 14:51:16.114122,2025-07-29 14:51:16.114157,
3303,G-ZnAlCu,"Material from Idemat 2025 dataset - ",71,G-ZnAlCu,,,,de3e8cb8-5f30-416c-b0c9-de14a1276bb5,1,false,Idemat 2025,,2025-07-29 14:51:16.575278,2025-07-29 14:51:16.575292,
3304,Zamak3,"Material from Idemat 2025 dataset - ",71,Zamak3,,,,e4366450-2e20-44f1-9e8d-b831661a208f,1,false,Idemat 2025,,2025-07-29 14:51:17.072846,2025-07-29 14:51:17.072851,
3305,Zamak5,"Material from Idemat 2025 dataset - ",71,Zamak5,,,,d94e903a-94eb-4d66-9598-ed4da3df005d,1,false,Idemat 2025,,2025-07-29 14:51:17.57281,2025-07-29 14:51:17.57282,
3306,ZnCuTi,"Material from Idemat 2025 dataset - ",71,ZnCuTi,,,,dbe03301-9d5b-4caf-a59e-1c35b38a3193,1,false,Idemat 2025,,2025-07-29 14:51:18.09026,2025-07-29 14:51:18.090268,
3307,Zinc (super plastic),"Material from Idemat 2025 dataset - ",71,Zinc (super plastic),,,,0d15a31f-fa45-4253-874d-3f9d56868b02,1,false,Idemat 2025,,2025-07-29 14:51:18.608861,2025-07-29 14:51:18.608871,
3308,"Barium Ferrite magnet, ceramic 4 MGOe","Material from Idemat 2025 dataset - ",64,"Barium Ferrite magnet, ceramic 4 MGOe",,,,751782c5-e55f-48ed-8601-65d8d916a771,1,false,Idemat 2025,,2025-07-29 14:51:19.065192,2025-07-29 14:51:19.065205,
3309,Neodymium magnet (NdFeB) 50 MGOe,"Material from Idemat 2025 dataset - ",64,Neodymium magnet (NdFeB) 50 MGOe,,,,ab659712-2f98-47a5-8df7-efa631f5a979,1,false,Idemat 2025,,2025-07-29 14:51:19.548432,2025-07-29 14:51:19.548438,
3310,Neodymium magnet (NdFeB) 50 MGOe recycled,"Material from Idemat 2025 dataset - ",64,Neodymium magnet (NdFeB) 50 MGOe recycled,,,,b86ad725-3e6b-46cc-aaf7-8999d972c831,1,false,Idemat 2025,,2025-07-29 14:51:19.992648,2025-07-29 14:51:19.992661,
3311,"Neodymium magnet (NdFeB) corrosion resistant, 40 MGOe","Material from Idemat 2025 dataset - ",64,"Neodymium magnet (NdFeB) corrosion resistant, 40 MGOe",,,,0ecd12ef-ace0-4b72-b122-70ba399958c7,1,false,Idemat 2025,,2025-07-29 14:51:20.452074,2025-07-29 14:51:20.452079,
